time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),snowfall (cm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day ()
2021-03-01T00:00,4,94,3.1,0.7,0,0,1032.8,11.6,74,23.4,5.2,0.213,0
2021-03-01T01:00,3.5,93,2.5,0.3,0,0,1032.1,10.5,74,20.5,5.6,0.205,0
2021-03-01T02:00,3,94,2.2,-0.1,0,0,1032.2,9.4,72,18.4,5,0.205,0
2021-03-01T03:00,2.4,95,1.7,-0.7,0,0,1031.9,8.6,75,16.2,4.4,0.205,0
2021-03-01T04:00,2,96,1.5,-1.3,0,0,1031.6,9.8,73,16.9,4,0.205,0
2021-03-01T05:00,1.9,96,1.4,-1.7,0,0,1031.5,11.2,75,19.4,3.6,0.205,0
2021-03-01T06:00,1.7,97,1.2,-1.9,0,0,1031.5,11.4,77,20.5,3.3,0.206,0
2021-03-01T07:00,1.5,97,1,-2.2,0,0,1031.4,11.7,81,20.5,3.1,0.206,0
2021-03-01T08:00,1.5,96,1,-2.2,0,0,1031.7,12.3,83,21.6,2.9,0.206,1
2021-03-01T09:00,3,92,1.9,-0.8,0,0,1031.8,13.1,81,24.1,3.4,0.206,1
2021-03-01T10:00,4.7,86,2.6,1,0,0,1031.8,13.8,83,28.4,4.5,0.206,1
2021-03-01T11:00,6.7,79,3.3,3.2,0,0,1031.7,13,85,29.2,5.9,0.206,1
2021-03-01T12:00,8.5,72,3.8,5.2,0,0,1031.5,12.6,87,28.8,7.3,0.205,1
2021-03-01T13:00,7.9,76,4,4.7,0,0,1031.2,12.6,87,28.1,6.2,0.202,1
2021-03-01T14:00,9.3,72,4.5,6,0,0,1030.4,13.2,79,29.2,7.9,0.202,1
2021-03-01T15:00,10.2,69,4.7,6.9,0,0,1029.8,13.5,81,29.5,8.9,0.201,1
2021-03-01T16:00,10.5,67,4.7,7.3,0,0,1029.4,13.6,79,29.2,9.4,0.201,1
2021-03-01T17:00,10.1,69,4.7,7.1,0,0,1029,12.2,71,27.7,9.3,0.201,1
2021-03-01T18:00,8.3,78,4.6,5.4,0,0,1028.9,11.1,61,23.4,8.6,0.201,1
2021-03-01T19:00,6.6,84,4.1,3.4,0,0,1029.1,12.4,60,21.6,7.5,0.201,0
2021-03-01T20:00,5.8,87,3.8,2.5,0,0,1029.3,12.4,64,22.3,6.7,0.201,0
2021-03-01T21:00,5.2,89,3.6,2,0,0,1029,11.7,72,21.2,6.1,0.201,0
2021-03-01T22:00,5,90,3.4,1.6,0,0,1029.1,12.4,82,21.6,5.7,0.201,0
2021-03-01T23:00,4.7,90,3.2,1.4,0,0,1029.2,12.2,88,22,5.3,0.201,0
2021-03-02T00:00,4.3,91,2.9,1,0,0,1029.1,11.6,95,21.6,5.1,0.202,0
2021-03-02T01:00,4.3,88,2.5,1.1,0,0,1028.6,10.1,107,20.2,4.7,0.2,0
2021-03-02T02:00,3.3,88,1.6,0.2,0,0,1028.5,8.3,108,17.3,4.4,0.2,0
2021-03-02T03:00,2.6,89,0.9,-0.6,0,0,1028.4,8.2,105,14,4.1,0.2,0
2021-03-02T04:00,1.9,90,0.4,-1.3,0,0,1028.1,7.9,106,13.7,3.7,0.2,0
2021-03-02T05:00,1.4,90,-0.1,-1.8,0,0,1028,7.3,101,13,3.3,0.2,0
2021-03-02T06:00,1,91,-0.3,-2.2,0,0,1028,7.2,96,12.2,3,0.2,0
2021-03-02T07:00,0.6,92,-0.6,-2.6,0,0,1027.9,6.9,99,12.6,2.7,0.201,0
2021-03-02T08:00,1,92,-0.2,-2.4,0,0,1028.1,8.1,103,13,2.5,0.201,1
2021-03-02T09:00,3.4,85,1,0.2,0,0,1028.3,8.7,107,16.9,3.2,0.201,1
2021-03-02T10:00,6.2,77,2.4,3.5,0,0,1028.6,6.4,117,16.9,4.6,0.201,1
2021-03-02T11:00,8.8,71,3.8,6.5,0,0,1028.9,5.9,128,16.9,6.4,0.2,1
2021-03-02T12:00,10.9,66,4.8,8.8,0,0,1028.9,6.1,140,18,8.2,0.2,1
2021-03-02T13:00,12.4,62,5.3,10.4,0,0,1028.1,5.9,128,18.4,9.7,0.199,1
2021-03-02T14:00,13.6,59,5.8,11.6,0,0,1027.6,6.9,137,18.4,10.9,0.198,1
2021-03-02T15:00,14.4,57,6,12.3,0,0,1027.3,7.1,150,18.7,11.7,0.197,1
2021-03-02T16:00,14.7,57,6.3,13,0,0,1027,5.5,157,17.3,12,0.197,1
2021-03-02T17:00,14.3,66,8.1,13.5,0,0,1026.9,2.3,162,13.3,11.8,0.196,1
